episode,mean_reward,baseline_reward,lie_rate,truth_rate,twist_rate,vote_lowest_trust,vote_highest_threat,vote_random,trust_dispersion
173,0.4464,0.4308,0.3333,0.5556,0.1111,0.3333,0.3333,0.3333,0.1111
174,0.4405,0.4309,0.3333,0.5556,0.1111,0.4444,0.1111,0.4444,0.1111
175,0.3928,0.4306,0.3333,0.6667,0.0,0.5556,0.1111,0.3333,0.0
176,0.4226,0.4306,0.2222,0.5556,0.2222,0.2222,0.3333,0.4444,0.0889
177,0.4345,0.4306,0.2222,0.5556,0.2222,0.4444,0.3333,0.2222,0.0889
178,0.4286,0.4306,0.1111,0.6667,0.2222,0.5556,0.3333,0.1111,0.0889
179,0.4524,0.4307,0.1111,0.7778,0.1111,0.3333,0.3333,0.3333,0.0889
180,0.4345,0.4307,0.2222,0.6667,0.1111,0.2222,0.3333,0.4444,0.0444
181,0.4286,0.4307,0.3333,0.4444,0.2222,0.7778,0.2222,0.0,0.0444
182,0.4524,0.4309,0.3333,0.3333,0.3333,0.5556,0.3333,0.1111,0.0444
183,0.4166,0.4308,0.1111,0.7778,0.1111,0.2222,0.5556,0.2222,0.0889
184,0.4464,0.4309,0.2222,0.7778,0.0,0.3333,0.4444,0.2222,0.0
185,0.4524,0.431,0.2222,0.5556,0.2222,0.3333,0.4444,0.2222,0.0444
186,0.3929,0.4308,0.1111,0.4444,0.4444,0.4444,0.1111,0.4444,0.0889
187,0.4524,0.4309,0.0,0.8889,0.1111,0.6667,0.2222,0.1111,0.0444
188,0.4762,0.4311,0.1111,0.7778,0.1111,0.4444,0.3333,0.2222,0.0444
189,0.4464,0.4312,0.0,0.8889,0.1111,0.3333,0.2222,0.4444,0.0
190,0.4464,0.4313,0.1111,0.7778,0.1111,0.7778,0.1111,0.1111,0.0444
191,0.4643,0.4315,0.1111,0.7778,0.1111,0.3333,0.2222,0.4444,0.0
192,0.4881,0.4318,0.2222,0.7778,0.0,0.1111,0.6667,0.2222,0.0889
193,0.4524,0.4319,0.1111,0.8889,0.0,0.3333,0.4444,0.2222,0.0444
194,0.4464,0.4319,0.1111,0.5556,0.3333,0.5556,0.2222,0.2222,0.0889
195,0.4643,0.4321,0.1111,0.7778,0.1111,0.4444,0.5556,0.0,0.0889
196,0.3928,0.4319,0.1111,0.6667,0.2222,0.3333,0.3333,0.3333,0.0
197,0.4881,0.4322,0.0,1.0,0.0,0.3333,0.3333,0.3333,0.0444
198,0.4762,0.4324,0.1111,0.7778,0.1111,0.4444,0.4444,0.1111,0.0
199,0.4583,0.4325,0.4444,0.5556,0.0,0.4444,0.3333,0.2222,0.0889
200,0.4226,0.4325,0.2222,0.6667,0.1111,0.6667,0.2222,0.1111,0.0889
